,Latitude,Longitude,Measurement,Year,DensityClass
4872,15.62,-62.2,0.000676,2003,1
4873,15.35,-62.7,0.000832,1995,1
4874,31.167,-155.033,0.001,1973,1
4875,29.983,-144.933,0.001,1973,1
4876,31.033,-155.067,0.001,1973,1
4877,-54.9338,-67.6162,0.001,2013,1
4878,-54.941,-69.1525,0.001,2013,1
4879,59.3681,-153.5523,0.001,2013,1
4880,-54.9431,-69.4812,0.001,2013,1
4881,20.6476,-87.0509,0.001,2013,1
4882,59.3787,-153.5209,0.001,2013,1
4883,21.2109,-27.4535,0.001,2014,1
4884,59.611,-149.6231,0.001,2014,1
4885,19.136,-96.1015,0.001,2014,1
4886,14.9667,-56.9667,0.001,2014,1
4887,23.35,-21.6717,0.001,2014,1
4888,12.593,-61.4123,0.001,2014,1
4889,-42.24,-64.05,0.001,2014,1
4890,-10.2995,166.2958,0.001,2014,1
4891,47.38,-122.6407,0.001,2014,1
4892,15.0233,-56.8167,0.001,2014,1
4893,8.4919,-13.2919,0.001,2014,1
4894,14.0907,-52.5901,0.001,2014,1
4895,15.1563,-41.091,0.001,2014,1
4896,14.1,-59.4833,0.001,2014,1
4897,16.8167,-33.5667,0.001,2014,1
4898,-54.2844,-36.5065,0.001,2014,1
4899,11.9958,-61.7631,0.001,2014,1
4900,-18.7,0.6,0.001,2014,1
4901,-0.7485,-90.3131,0.001,2014,1
4902,24.7347,-17.4917,0.001,2014,1
4903,17.949,-33.8924,0.001,2014,1
4904,36.8867,10.3303,0.001,2014,1
4905,15.2249,-52.1133,0.001,2014,1
4906,13.8556,-59.9185,0.001,2014,1
4907,17.1136,-40.5274,0.001,2014,1
4908,18.4547,-64.4421,0.001,2014,1
4909,7.313,134.2236,0.001,2014,1
4910,20.3694,-35.275,0.001,2014,1
4911,20.27,-34.15,0.001,2014,1
4912,23.0333,-36.6333,0.001,2014,1
4913,15.7515,-45.3803,0.001,2014,1
4914,44.3202,-68.3129,0.001,2014,1
4915,17.707,-31.3917,0.001,2014,1
4916,-51.315,-60.2483,0.001,2014,1
4917,15.0837,-53.0038,0.001,2014,1
4918,16.4855,-31.8844,0.001,2014,1
4919,26.27,-21.49,0.001,2014,1
4920,41.79,-69.93,0.001,2014,1
4921,14.8527,-60.5023,0.001,2014,1
4922,9.4197,-79.9675,0.001,2014,1
4923,16.8749,-32.3976,0.001,2014,1
4924,14.9766,-50.5562,0.001,2014,1
4925,15.8674,-61.5895,0.001,2014,1
4926,-45.8934,170.5178,0.001,2014,1
4927,16.1713,-51.6602,0.001,2014,1
4928,15.757,-96.117,0.001,2014,1
4929,-33.893,151.2824,0.001,2014,1
4930,-2.3293,140.0838,0.001,2015,1
